time_of_day,weather,speed_limit,past_incidents,risk_multiplier
evening,clear,50,3,1.789
night,foggy,80,3,2.5
morning,clear,60,1,1.712
evening,rainy,60,2,2.217
afternoon,foggy,60,2,2.095
evening,rainy,60,3,2.398
afternoon,foggy,60,0,1.957
afternoon,clear,60,2,1.859
afternoon,rainy,60,3,2.232
night,foggy,60,0,2.448
night,clear,80,2,2.484
morning,clear,80,0,1.674
evening,clear,30,1,1.608
evening,foggy,30,5,2.389
morning,foggy,80,4,2.5
afternoon,foggy,50,2,2.17
morning,foggy,30,3,2.048
night,clear,50,3,2.138
morning,rainy,60,2,2.197
night,clear,30,2,1.868
morning,clear,50,0,1.224
morning,clear,50,1,1.625
evening,rainy,30,1,1.715
evening,rainy,50,1,1.958
morning,foggy,30,2,1.924
afternoon,rainy,80,2,2.207
night,foggy,50,1,2.326
afternoon,rainy,50,2,2.13
evening,rainy,80,2,2.5
night,foggy,60,4,2.5
morning,clear,40,4,1.906
afternoon,clear,60,2,2.114
morning,foggy,50,5,2.369
morning,rainy,40,3,1.849
night,clear,80,1,2.437
night,clear,60,2,2.306
afternoon,rainy,80,3,2.5
morning,clear,60,2,1.927
morning,clear,60,4,1.998
morning,foggy,50,1,2.014
morning,clear,30,1,1.421
afternoon,foggy,40,2,1.979
evening,rainy,40,2,2.065
afternoon,foggy,40,5,2.448
morning,rainy,60,1,1.804
evening,rainy,50,2,2.34
afternoon,rainy,30,0,1.503
night,clear,30,3,2.059
afternoon,clear,60,2,1.729
afternoon,foggy,40,0,1.571
morning,rainy,30,1,1.588
night,rainy,30,3,2.283
evening,clear,80,1,2.277
morning,clear,60,0,1.539
morning,rainy,60,1,2.03
night,clear,80,3,2.5
evening,rainy,40,4,2.254
night,rainy,50,4,2.5
morning,rainy,50,1,1.868
morning,rainy,80,1,2.138
afternoon,foggy,30,2,1.895
night,rainy,80,4,2.5
evening,foggy,80,2,2.5
morning,rainy,60,3,2.026
night,clear,30,4,1.965
morning,foggy,60,3,2.259
morning,foggy,80,3,2.5
evening,rainy,60,5,2.5
morning,rainy,50,1,1.695
night,clear,30,3,1.809
night,rainy,50,1,2.081
afternoon,rainy,40,5,2.128
morning,foggy,60,2,2.167
evening,clear,60,4,2.308
evening,clear,80,5,2.462
